ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600007.SH,20010102,6.0071,6.1263,6.0071,6.115,6.0014,0.11359999999999992,1.8929,6263.91,6717.584
600007.SH,20010103,6.1263,6.2228,6.0752,6.1547,6.115,0.039699999999999847,0.6492,12444.67,13501.368
600007.SH,20010104,6.1661,6.2001,6.0752,6.0923,6.1547,-0.06240000000000023,-1.0139,9925.0,10741.071
600007.SH,20010105,6.0923,6.2456,6.0809,6.2456,6.0923,0.15329999999999977,2.5163,17078.14,18632.154
600007.SH,20010108,6.2456,6.802,6.132,6.7793,6.2456,0.5337000000000005,8.5452,122732.03,142359.898
600007.SH,20010109,6.7566,6.7566,6.5351,6.626,6.7793,-0.15329999999999977,-2.2613,50312.87,59080.572
600007.SH,20010110,6.626,6.7509,6.5862,6.6941,6.626,0.06809999999999938,1.0278,26082.85,30669.599
600007.SH,20010111,6.7452,6.802,6.6146,6.643,6.6941,-0.05109999999999992,-0.7634,21679.95,25555.151
600007.SH,20010112,6.643,6.643,6.4216,6.45,6.643,-0.19299999999999962,-2.9053,21881.72,25153.13
600007.SH,20010115,6.4159,6.6316,6.3023,6.4727,6.45,0.0226999999999995,0.3519,26466.33,30100.296
600007.SH,20010116,6.3591,6.5749,6.3364,6.5749,6.4727,0.10220000000000073,1.5789,17622.94,20176.77
600007.SH,20010117,6.5862,6.6771,6.5351,6.6033,6.5749,0.028399999999999537,0.4319,16956.59,19715.619
600007.SH,20010118,6.6033,6.7282,6.5862,6.66,6.6033,0.056700000000000195,0.8587,25696.49,30223.778
600007.SH,20010119,6.6316,6.7452,6.6316,6.7395,6.66,0.07949999999999946,1.1937,34955.85,41320.306
600007.SH,20010205,6.7566,6.7906,6.4216,6.5067,6.7395,-0.23279999999999923,-3.4543,12406.97,14404.744
600007.SH,20010206,6.467,6.467,6.1434,6.3648,6.5067,-0.14190000000000058,-2.1808,15423.05,17111.676
600007.SH,20010207,6.3875,6.4613,6.3023,6.3875,6.3648,0.022700000000000387,0.3566,8973.04,10106.993
600007.SH,20010208,6.3591,6.4727,6.3307,6.3705,6.3875,-0.017000000000000348,-0.2661,16228.75,18285.043
600007.SH,20010209,6.3307,6.5011,6.3307,6.484,6.3705,0.11350000000000016,1.7816,10977.41,12433.312
600007.SH,20010212,6.5181,6.6033,6.4159,6.5862,6.484,0.10219999999999985,1.5762,11637.35,13384.184
600007.SH,20010213,6.5749,6.6771,6.5011,6.6033,6.5862,0.017100000000000115,0.2596,13612.66,15881.551
600007.SH,20010214,6.5749,6.7282,6.5294,6.6941,6.6033,0.09079999999999977,1.3751,24981.0,29383.101
600007.SH,20010215,6.6714,6.7679,6.5862,6.7168,6.6941,0.022700000000000387,0.3391,22036.17,25995.046
600007.SH,20010216,6.6884,6.6884,6.4727,6.6146,6.7168,-0.10219999999999985,-1.5216,11094.21,12852.21
600007.SH,20010219,6.6203,6.8701,6.5578,6.8644,6.6146,0.24979999999999958,3.7765,38189.0,45624.312
600007.SH,20010220,6.8247,6.9155,6.7282,6.7338,6.8644,-0.13060000000000027,-1.9026,23772.67,28530.156
600007.SH,20010221,6.6998,6.8815,6.6033,6.7793,6.7338,0.04550000000000054,0.6757,35246.17,42099.691
600007.SH,20010222,6.7509,6.8701,6.7111,6.8133,6.7793,0.03399999999999981,0.5015,23761.79,28559.895
600007.SH,20010223,6.8304,6.8701,6.7849,6.8474,6.8133,0.03410000000000046,0.5005,16555.42,19899.304
600007.SH,20010226,6.8758,6.9269,6.7963,6.8815,6.8474,0.034099999999999575,0.498,17273.08,20838.282
600007.SH,20010227,6.8985,6.9155,6.7622,6.8133,6.8815,-0.06820000000000004,-0.9911,13774.89,16545.74
600007.SH,20010228,6.8133,6.8417,6.6884,6.6998,6.8133,-0.11350000000000016,-1.6659,15761.61,18703.435
600007.SH,20010301,6.6941,6.8247,6.6714,6.8133,6.6998,0.11350000000000016,1.6941,18794.78,22422.79
600007.SH,20010302,6.8417,6.9326,6.8304,6.8701,6.8133,0.05679999999999996,0.8337,21852.32,26517.285
600007.SH,20010305,6.8815,7.0177,6.8815,7.0007,6.8701,0.13060000000000027,1.901,24493.57,30085.042
600007.SH,20010306,7.0121,7.0632,6.9723,7.0177,7.0007,0.01699999999999946,0.2428,16433.79,20325.783
600007.SH,20010307,7.0291,7.0404,6.9382,6.961,7.0177,-0.056699999999999307,-0.808,10428.69,12824.364
600007.SH,20010308,7.0291,7.0348,6.9099,6.9837,6.961,0.0226999999999995,0.3261,12095.41,14850.93
600007.SH,20010309,6.9893,7.0121,6.9439,6.9553,6.9837,-0.028399999999999537,-0.4067,14132.0,17368.996
600007.SH,20010312,6.9723,7.0688,6.9099,6.9837,6.9553,0.028399999999999537,0.4083,11849.26,14575.01
600007.SH,20010313,6.9666,7.0177,6.8531,6.8588,6.9837,-0.12490000000000023,-1.7885,15566.75,18984.088
600007.SH,20010314,6.8588,6.9212,6.8417,6.8758,6.8588,0.017000000000000348,0.2479,11774.56,14251.473
600007.SH,20010315,6.8815,7.0404,6.8701,7.0177,6.8758,0.1418999999999997,2.0638,15683.86,19215.953
600007.SH,20010316,7.0177,7.0348,6.9269,6.961,7.0177,-0.056699999999999307,-0.808,11717.6,14400.845
600007.SH,20010319,6.9553,7.0234,6.9155,6.9553,6.961,-0.005700000000000038,-0.0819,14507.3,17749.247
600007.SH,20010320,6.9553,6.9723,6.8701,6.9042,6.9553,-0.05109999999999992,-0.7347,14381.31,17485.592
600007.SH,20010321,6.9099,7.0121,6.8474,6.9155,6.9042,0.011299999999999422,0.1637,14869.85,18086.483
600007.SH,20010322,6.9269,6.9439,6.8531,6.8701,6.9155,-0.045399999999999885,-0.6565,20867.58,25265.783
600007.SH,20010323,6.8701,7.0121,6.8304,6.8701,6.8701,0.0,0.0,28829.92,35134.649
600007.SH,20010326,6.8531,7.0348,6.836,6.9099,6.8701,0.0398000000000005,0.5793,30863.38,37528.648
600007.SH,20010327,6.9269,7.0121,6.8871,6.9893,6.9099,0.07939999999999969,1.1491,29439.31,36101.822
600007.SH,20010328,7.0121,7.1597,6.978,7.137,6.9893,0.1476999999999995,2.1132,105825.4,131532.786
600007.SH,20010329,7.1313,7.2051,6.9723,7.0348,7.137,-0.10219999999999985,-1.432,31486.08,39071.45
600007.SH,20010330,7.0348,7.0688,6.8644,6.9723,7.0348,-0.0625,-0.8884,33525.24,40915.491
600007.SH,20010402,7.0121,7.1086,6.9269,7.0972,6.9723,0.12490000000000023,1.7914,25212.18,31056.449
600007.SH,20010403,7.1256,7.1256,6.9723,7.0291,7.0972,-0.06810000000000027,-0.9595,16087.0,19990.359
600007.SH,20010404,7.0404,7.0688,6.8474,6.8985,7.0291,-0.13059999999999938,-1.858,19805.79,24279.351
600007.SH,20010405,6.8985,6.9269,6.8531,6.9155,6.8985,0.01699999999999946,0.2464,18187.47,22054.995
600007.SH,20010406,6.9269,6.9439,6.8417,6.8588,6.9155,-0.056700000000000195,-0.8199,14369.87,17396.729
600007.SH,20010409,6.8531,6.8531,6.6884,6.7509,6.8588,-0.10789999999999988,-1.5732,30415.11,36123.031
600007.SH,20010410,6.7509,6.9553,6.6998,6.9496,6.7509,0.19870000000000054,2.9433,28955.27,34653.72
600007.SH,20010411,6.9837,7.0007,6.8417,6.8815,6.9496,-0.06810000000000027,-0.9799,9194.02,11158.946
600007.SH,20010412,6.8815,6.9042,6.7679,6.802,6.8815,-0.07950000000000035,-1.1553,15492.27,18613.788
600007.SH,20010413,6.802,6.8133,6.7225,6.7679,6.802,-0.034099999999999575,-0.5013,12457.84,14820.584
600007.SH,20010416,6.7679,6.9269,6.6998,6.9212,6.7679,0.15329999999999977,2.2651,20251.82,24194.666
600007.SH,20010417,6.9212,6.9212,6.7622,6.7849,6.9212,-0.13629999999999942,-1.9693,17704.67,21325.748
600007.SH,20010418,6.7849,6.8985,6.7566,6.802,6.7849,0.017099999999999227,0.252,14219.85,17065.165
600007.SH,20010419,6.7849,6.819,6.6998,6.7225,6.802,-0.07949999999999946,-1.1688,15070.54,17849.609
600007.SH,20010420,6.7282,6.8077,6.6487,6.6487,6.7225,-0.07380000000000031,-1.0978,15673.35,18586.86
